PassengerId,Survived,Pclass,Sex,Age,Count
1,0,3,male,22,1
2,1,1,female,38,1
3,1,3,female,26,1
4,1,1,female,35,1
5,0,3,male,35,1
6,0,3,male,,1
7,0,1,male,54,1
8,0,3,male,2,1
9,1,3,female,27,1
10,1,2,female,14,1
11,1,3,female,4,1
12,1,1,female,58,1
13,0,3,male,20,1
14,0,3,male,39,1
15,0,3,female,14,1
16,1,2,female,55,1
17,0,3,male,2,1
18,1,2,male,,1
19,0,3,female,31,1
20,1,3,female,,1
21,0,2,male,35,1
22,1,2,male,34,1
23,1,3,female,15,1
24,1,1,male,28,1
25,0,3,female,8,1
26,1,3,female,38,1
27,0,3,male,,1
28,0,1,male,19,1
29,1,3,female,,1
30,0,3,male,,1
31,0,1,male,40,1
32,1,1,female,,1
33,1,3,female,,1
34,0,2,male,66,1
35,0,1,male,28,1
36,0,1,male,42,1
37,1,3,male,,1
38,0,3,male,21,1
39,0,3,female,18,1
40,1,3,female,14,1
41,0,3,female,40,1
42,0,2,female,27,1
43,0,3,male,,1
44,1,2,female,3,1
45,1,3,female,19,1
46,0,3,male,,1
47,0,3,male,,1
48,1,3,female,,1
49,0,3,male,,1
50,0,3,female,18,1
51,0,3,male,7,1
52,0,3,male,21,1
53,1,1,female,49,1
54,1,2,female,29,1
55,0,1,male,65,1
56,1,1,male,,1
57,1,2,female,21,1
58,0,3,male,28.5,1
59,1,2,female,5,1
60,0,3,male,11,1
61,0,3,male,22,1
62,1,1,female,38,1
63,0,1,male,45,1
64,0,3,male,4,1
65,0,1,male,,1
66,1,3,male,,1
67,1,2,female,29,1
68,0,3,male,19,1
69,1,3,female,17,1
70,0,3,male,26,1
71,0,2,male,32,1
72,0,3,female,16,1
73,0,2,male,21,1
74,0,3,male,26,1
75,1,3,male,32,1
76,0,3,male,25,1
77,0,3,male,,1
78,0,3,male,,1
79,1,2,male,0.83,1
80,1,3,female,30,1
81,0,3,male,22,1
82,1,3,male,29,1
83,1,3,female,,1
84,0,1,male,28,1
85,1,2,female,17,1
86,1,3,female,33,1
87,0,3,male,16,1
88,0,3,male,,1
89,1,1,female,23,1
90,0,3,male,24,1
91,0,3,male,29,1
92,0,3,male,20,1
93,0,1,male,46,1
94,0,3,male,26,1
95,0,3,male,59,1
96,0,3,male,,1
97,0,1,male,71,1
98,1,1,male,23,1
99,1,2,female,34,1
100,0,2,male,34,1
101,0,3,female,28,1
102,0,3,male,,1
103,0,1,male,21,1
104,0,3,male,33,1
105,0,3,male,37,1
106,0,3,male,28,1
107,1,3,female,21,1
108,1,3,male,,1
109,0,3,male,38,1
110,1,3,female,,1
111,0,1,male,47,1
112,0,3,female,14.5,1
113,0,3,male,22,1
114,0,3,female,20,1
115,0,3,female,17,1
116,0,3,male,21,1
117,0,3,male,70.5,1
118,0,2,male,29,1
119,0,1,male,24,1
120,0,3,female,2,1
121,0,2,male,21,1
122,0,3,male,,1
123,0,2,male,32.5,1
124,1,2,female,32.5,1
125,0,1,male,54,1
126,1,3,male,12,1
127,0,3,male,,1
128,1,3,male,24,1
129,1,3,female,,1
130,0,3,male,45,1
131,0,3,male,33,1
132,0,3,male,20,1
133,0,3,female,47,1
134,1,2,female,29,1
135,0,2,male,25,1
136,0,2,male,23,1
137,1,1,female,19,1
138,0,1,male,37,1
139,0,3,male,16,1
140,0,1,male,24,1
141,0,3,female,,1
142,1,3,female,22,1
143,1,3,female,24,1
144,0,3,male,19,1
145,0,2,male,18,1
146,0,2,male,19,1
147,1,3,male,27,1
148,0,3,female,9,1
149,0,2,male,36.5,1
